,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
EFNA1,0.0,,False,protein,15,0.009615384615384614,1,extracellular,biological regulation,regulation of biological process,binding,protein binding
CALR,0.0,,False,protein,95,0.05289374857856509,6,ER,biological regulation,regulation of biological process,binding,protein binding
PLEKHF2,0.0,,False,protein,59,0.006763506342145667,5,vesicle,cellular process,cell communication,binding,protein binding
MAD1L1,0.0,,False,protein,48,0.0068912683757394975,1,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
ANKRA2,0.0,,False,protein,11,0.0,6,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
TP63,0.0,,False,protein,128,0.011539646358424862,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
BMP4,0.0,,False,protein,19,0.009615384615384616,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
CBFB,0.0,,False,protein,30,0.008750138291695905,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
NFKBIZ,0.0,,False,protein,3,0.0,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
SUFU,0.0,,False,protein,26,0.00033250702495407066,6,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
LDOC1,0.0,,False,protein,64,0.016700404621656253,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
HMGB2,0.0,,False,protein,33,0.004096686165352599,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
PPP1R12C,0.0,,False,protein,13,0.009615384615384616,2,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
EGR1,0.0,,False,protein,27,0.006621344975594083,0,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
TLR2,0.0,,False,protein,38,0.010379616357877229,7,plasma_membrane,response to stimulus,response to chemical,binding,protein binding
ACAN,0.0,,False,protein,19,0.014506242182791748,7,lysosome,metabolic process,nitrogen compound metabolic process,structural molecule,extracellular matrix structural constituent
PARVG,0.0,,False,protein,9,0.0001403707164086019,1,plasma_membrane,cellular process,cellular component organization,binding,protein binding
