protein1,protein2,in_solution,cost
E2F1,HDAC1,,0.194233
E2F1,CEBPD,,0.598835
E2F1,SP3,True,0.441751
E2F1,IGF1,True,0.594442
ELF3,TBP,True,0.561127
ELF3,EP300,,0.571676
SUMO1,ESR1,,0.45648
SUMO1,SERPINH1,,0.598835
SUMO1,ATF2,,0.392016
SUMO1,SMAD4,,0.136842
SUMO1,ETV4,,0.45648
SUMO1,HDAC1,,0.410771
SUMO1,JUNB,,0.598835
SUMO1,CEBPD,,0.598835
SUMO1,SP3,,0.520073
SUMO1,EPAS1,,0.410771
SUMO1,COL16A1,True,0.598835
SUMO1,MAF,,0.598835
SERPINH1,ESR1,,0.598835
SERPINH1,ATF2,,0.598835
SERPINH1,CRELD2,True,0.63215
GRB2,ESR1,,0.830932
GRB2,PRG4,True,0.598835
GRB2,ITGA4,,0.598835
GRB2,EP300,,0.594442
GRB2,BCR/ABL,True,0.538256
GRB2,PDGFRB,,0.268062
ETS2,EP300,True,0.266572
CEBPD,SMAD4,True,0.45648
CEBPD,EP300,,0.538056
CEBPD,HDAC1,True,0.332937
MAF,EP300,,0.472754
MAF,USF2,True,0.561127
COL16A1,GFAP,True,0.73224
HDAC1,ESR1,,0.0735403
HDAC1,TBP,,0.598835
HDAC1,SNAI2,True,0.410771
HDAC1,CIITA,,0.561127
HDAC1,RUNX1,,0.249941
HDAC1,SMAD4,,0.598835
HDAC1,EP300,,0.138546
HDAC1,SP3,True,0.115227
HDAC1,NFE4,True,0.441751
HDAC1,MAD1L1,,0.501461
SMAD4,ESR1,,0.674854
SMAD4,ATF2,,0.369192
SMAD4,EP300,,0.120001
SMAD4,JUNB,,0.333801
FOSL2,ATF2,,0.85922
FOSL2,EP300,,0.561127
FOSL2,JUNB,True,0.348018
FOSL2,LUZP4,True,0.392016
FBN1,EFEMP2,True,0.32463
ETV4,EP300,True,0.520073
ING4,EGLN1,True,0.296081
ING4,EP300,,0.598835
TBP,ESR1,,0.376967
TBP,NCOA1,,0.561127
TBP,EP300,,0.520073
TBP,CITED2,,0.561127
CRELD2,IGF2,True,0.63215
CRELD2,NDUFB11,True,0.63215
NCOA1,ESR1,True,0.0146049
NCOA1,CIITA,,0.45648
NCOA1,EP300,,0.318238
NCOA1,STAT6,True,0.0831664
PPBP,NDUFB11,True,0.594442
EPAS1,EGLN1,True,0.115011
EPAS1,EP300,,0.241902
MFAP1,MAD1L1,True,0.443583
MFAP1,LDOC1,True,0.392016
EP300,ESR1,,0.0272021
EP300,ATF2,,0.654948
EP300,RUNX1,,0.391484
EP300,CITED2,True,0.0877233
EP300,JUNB,,0.243823
EP300,SP3,,0.256637
EP300,STAT6,,0.357984
EP300,USF2,,0.594442
EP300,HOXA10,,0.830932
ESR1,JUNB,,0.85922
ESR1,SP3,,0.441963
RUNX1,CBFB,True,0.0692589
ATF2,JUNB,,0.552121
IL16,EFEMP2,True,0.594442
KRTAP10-8,LUZP4,True,0.392016
PDGFRB,PDGFB,True,0.0717395
TGFB1,TLR2,,0.63215
TLR2,CD14,True,0.384055
